Date,Time,Temp,Salinity,pH,Saturation State,Upwelling Index,,,,,,,,,,,,,,,,,
5/31/2009,17:45,11.92,32.81,7.932,1.673,6.921,,,,,,,,,,,,,,,,,
5/31/2009,18:00,11.96,32.77,7.951,1.739,7.024,,,,,,,,,,,,,,,,,
5/31/2009,18:15,11.97,32.76,7.937,1.690,7.441,,,,,,,,,,,,,,,,,
5/31/2009,18:30,11.84,32.86,7.951,1.739,7.857,,,,,,,,,,,,,,,,,
5/31/2009,18:45,11.94,32.77,7.970,1.807,8.274,,,,,,,,,,,,,,,,,
5/31/2009,19:00,12.41,32.55,7.984,1.858,8.691,,,,,,,,,,,,,,,,,
5/31/2009,19:15,12.29,32.67,7.974,1.824,9.107,,,,,,,,,,,,,,,,,
5/31/2009,19:30,12.28,32.34,7.960,1.772,9.524,,,,,,,,,,,,,,,,,
5/31/2009,19:45,12.19,32.08,7.965,1.790,9.941,,,,,,,,,,,,,,,,,
5/31/2009,20:00,12.08,31.8,7.989,1.878,10.357,,,,,,,,,,,,,,,,,
5/31/2009,20:15,11.92,31.58,7.985,1.862,10.774,,,,,,,,,,,,,,,,,
5/31/2009,20:30,11.79,31.64,7.985,1.862,11.191,,,,,,,,,,,,,,,,,
5/31/2009,20:45,11.69,31.7,7.990,1.880,11.607,,,,,,,,,,,,,,,,,
5/31/2009,21:00,11.77,31.77,7.952,1.741,12.024,,,,,,,,,,,,,,,,,
5/31/2009,21:15,11.58,31.71,7.980,1.845,12.441,,,,,,,,,,,,,,,,,
5/31/2009,21:30,11.61,31.68,7.966,1.793,12.857,,,,,,,,,,,,,,,,,
5/31/2009,21:45,11.78,31.7,7.918,1.627,13.274,,,,,,,,,,,,,,,,,
5/31/2009,22:00,11.92,31.95,7.885,1.519,13.691,,,,,,,,,,,,,,,,,
5/31/2009,22:15,11.7,32.07,7.956,1.758,14.107,,,,,,,,,,,,,,,,,
5/31/2009,22:30,11.52,32.03,7.966,1.792,14.524,,,,,,,,,,,,,,,,,
5/31/2009,22:45,11.4,32.01,7.961,1.776,14.941,,,,,,,,,,,,,,,,,
5/31/2009,23:00,11.46,31.9,7.923,1.644,15.357,,,,,,,,,,,,,,,,,
5/31/2009,23:15,11.42,31.88,7.957,1.759,15.774,,,,,,,,,,,,,,,,,
5/31/2009,23:30,11.41,31.91,7.933,1.676,16.191,,,,,,,,,,,,,,,,,
5/31/2009,23:45,11.37,30.42,7.957,1.761,16.607,,,,,,,,,,,,,,,,,
6/1/2009,0:00,11.47,31.81,7.923,1.644,16.986,,,,,,,,,,,,,,,,,
6/1/2009,0:15,11.45,31.9,7.914,1.612,16.736,,,,,,,,,,,,,,,,,
6/1/2009,0:30,11.39,31.89,7.919,1.628,16.486,,,,,,,,,,,,,,,,,
6/1/2009,0:45,11.36,31.9,7.909,1.597,16.236,,,,,,,,,,,,,,,,,
6/1/2009,1:00,11.38,31.91,7.904,1.582,15.986,,,,,,,,,,,,,,,,,
6/1/2009,1:15,11.35,31.89,7.904,1.582,15.736,,,,,,,,,,,,,,,,,
6/1/2009,1:30,11.37,31.88,7.904,1.582,15.486,,,,,,,,,,,,,,,,,
6/1/2009,1:45,11.45,31.88,7.880,1.506,15.236,,,,,,,,,,,,,,,,,
6/1/2009,2:00,11.48,31.9,7.866,1.462,14.986,,,,,,,,,,,,,,,,,
6/1/2009,2:15,11.58,31.87,7.857,1.433,14.736,,,,,,,,,,,,,,,,,
6/1/2009,2:30,11.59,31.9,7.847,1.405,14.486,,,,,,,,,,,,,,,,,
6/1/2009,2:45,11.62,31.94,7.847,1.405,14.236,,,,,,,,,,,,,,,,,
6/1/2009,3:00,11.63,31.95,7.842,1.391,13.986,,,,,,,,,,,,,,,,,
6/1/2009,3:15,11.61,31.95,7.833,1.363,13.736,,,,,,,,,,,,,,,,,
6/1/2009,3:30,11.56,31.94,7.828,1.350,13.486,,,,,,,,,,,,,,,,,
6/1/2009,3:45,11.55,31.9,7.823,1.337,13.236,,,,,,,,,,,,,,,,,
6/1/2009,4:00,11.54,31.91,7.819,1.323,12.986,,,,,,,,,,,,,,,,,
6/1/2009,4:15,11.51,31.91,7.814,1.310,12.736,,,,,,,,,,,,,,,,,
6/1/2009,4:30,11.51,31.9,7.804,1.284,12.486,,,,,,,,,,,,,,,,,
6/1/2009,4:45,11.69,31.79,7.809,1.297,12.236,,,,,,,,,,,,,,,,,
6/1/2009,5:00,11.52,31.99,7.771,1.196,11.986,,,,,,,,,,,,,,,,,
6/1/2009,5:15,11.66,32.04,7.776,1.208,11.736,,,,,,,,,,,,,,,,,
6/1/2009,5:30,11.59,32,7.719,1.067,11.486,,,,,,,,,,,,,,,,,
6/1/2009,5:45,11.57,32,7.714,1.056,11.236,,,,,,,,,,,,,,,,,
6/1/2009,6:00,11.55,32.03,7.714,1.056,10.976,,,,,,,,,,,,,,,,,
6/1/2009,6:15,11.54,32.04,7.690,1.001,10.559,,,,,,,,,,,,,,,,,
6/1/2009,6:30,11.56,31.99,7.709,1.045,10.143,,,,,,,,,,,,,,,,,
6/1/2009,6:45,11.53,31.96,7.709,1.045,9.726,,,,,,,,,,,,,,,,,
6/1/2009,7:00,11.52,31.95,7.738,1.112,9.309,,,,,,,,,,,,,,,,,
6/1/2009,7:15,11.55,31.94,7.828,1.350,8.893,,,,,,,,,,,,,,,,,
6/1/2009,7:30,11.55,31.91,7.776,1.208,8.476,,,,,,,,,,,,,,,,,
6/1/2009,7:45,11.57,31.93,7.757,1.159,8.059,,,,,,,,,,,,,,,,,
6/1/2009,8:00,11.57,31.91,7.757,1.159,7.643,,,,,,,,,,,,,,,,,
6/1/2009,8:15,11.65,31.9,7.723,1.078,7.226,,,,,,,,,,,,,,,,,
6/1/2009,8:30,11.69,31.92,7.766,1.183,6.809,,,,,,,,,,,,,,,,,
6/1/2009,8:45,11.71,31.9,7.785,1.232,6.393,,,,,,,,,,,,,,,,,
6/1/2009,9:00,11.78,31.91,7.818,1.323,5.976,,,,,,,,,,,,,,,,,
6/1/2009,9:15,11.77,31.9,7.766,1.183,5.559,,,,,,,,,,,,,,,,,
6/1/2009,9:30,11.78,31.91,7.761,1.171,5.143,,,,,,,,,,,,,,,,,
6/1/2009,9:45,11.9,31.9,7.771,1.195,4.726,,,,,,,,,,,,,,,,,
6/1/2009,10:00,12.35,31.8,7.785,1.231,4.309,,,,,,,,,,,,,,,,,
6/1/2009,10:15,12.23,31.95,7.785,1.231,3.893,,,,,,,,,,,,,,,,,
6/1/2009,10:30,12.55,31.79,7.756,1.157,3.476,,,,,,,,,,,,,,,,,
6/1/2009,10:45,12.73,31.79,7.746,1.133,3.059,,,,,,,,,,,,,,,,,
6/1/2009,11:00,12.56,31.92,7.770,1.193,2.643,,,,,,,,,,,,,,,,,
6/1/2009,11:15,12.37,32.02,7.784,1.231,2.226,,,,,,,,,,,,,,,,,
6/1/2009,11:30,12.42,31.97,7.770,1.194,1.809,,,,,,,,,,,,,,,,,
6/1/2009,11:45,12.56,32.01,7.770,1.193,1.393,,,,,,,,,,,,,,,,,
6/1/2009,12:00,12.6,31.95,7.770,1.193,1.010,,,,,,,,,,,,,,,,,
6/1/2009,12:15,12.79,31.97,7.756,1.157,1.176,,,,,,,,,,,,,,,,,
6/1/2009,12:30,12.72,32.04,7.770,1.193,1.343,,,,,,,,,,,,,,,,,
6/1/2009,12:45,12.79,32.04,7.770,1.193,1.509,,,,,,,,,,,,,,,,,
6/1/2009,13:00,12.72,32.07,7.784,1.230,1.676,,,,,,,,,,,,,,,,,
6/1/2009,13:15,12.76,32.06,7.798,1.268,1.843,,,,,,,,,,,,,,,,,
6/1/2009,13:30,12.72,32.05,7.803,1.281,2.010,,,,,,,,,,,,,,,,,
6/1/2009,13:45,12.73,32.03,7.808,1.294,2.176,,,,,,,,,,,,,,,,,
6/1/2009,14:00,12.73,32.03,7.822,1.333,2.343,,,,,,,,,,,,,,,,,
6/1/2009,14:15,12.84,31.98,7.822,1.333,2.509,,,,,,,,,,,,,,,,,
6/1/2009,14:30,12.8,32,7.832,1.360,2.676,,,,,,,,,,,,,,,,,
6/1/2009,14:45,12.86,31.99,7.841,1.388,2.843,,,,,,,,,,,,,,,,,
6/1/2009,15:00,12.75,32.03,7.846,1.402,3.010,,,,,,,,,,,,,,,,,
6/1/2009,15:15,12.73,32.02,7.855,1.430,3.176,,,,,,,,,,,,,,,,,
6/1/2009,15:30,12.78,31.97,7.846,1.402,3.343,,,,,,,,,,,,,,,,,
6/1/2009,15:45,12.66,32.02,7.837,1.374,3.510,,,,,,,,,,,,,,,,,
6/1/2009,16:00,12.77,32.04,7.846,1.402,3.676,,,,,,,,,,,,,,,,,
6/1/2009,16:15,12.64,32.01,7.822,1.334,3.843,,,,,,,,,,,,,,,,,
6/1/2009,16:30,12.6,32.02,7.803,1.281,4.010,,,,,,,,,,,,,,,,,
6/1/2009,16:45,12.62,32.06,7.808,1.294,4.176,,,,,,,,,,,,,,,,,
6/1/2009,17:00,12.73,32.05,7.832,1.360,4.343,,,,,,,,,,,,,,,,,
6/1/2009,17:15,12.77,32.05,7.846,1.402,4.510,,,,,,,,,,,,,,,,,
6/1/2009,17:30,12.8,32.02,7.851,1.415,4.676,,,,,,,,,,,,,,,,,
6/1/2009,17:45,12.75,31.99,7.865,1.458,4.843,,,,,,,,,,,,,,,,,
6/1/2009,18:00,12.89,31.98,7.898,1.562,5.028,,,,,,,,,,,,,,,,,
6/1/2009,18:15,12.84,31.95,7.865,1.458,5.529,,,,,,,,,,,,,,,,,
6/1/2009,18:30,12.7,31.97,7.856,1.430,6.029,,,,,,,,,,,,,,,,,
6/1/2009,18:45,12.79,31.95,7.879,1.502,6.529,,,,,,,,,,,,,,,,,
6/1/2009,19:00,13.04,31.83,7.908,1.592,7.029,,,,,,,,,,,,,,,,,
6/1/2009,19:15,12.76,31.96,7.865,1.458,7.529,,,,,,,,,,,,,,,,,
6/1/2009,19:30,12.75,31.96,7.884,1.517,8.029,,,,,,,,,,,,,,,,,
6/1/2009,19:45,12.79,31.87,7.908,1.593,8.529,,,,,,,,,,,,,,,,,
6/1/2009,20:00,12.7,31.89,7.903,1.578,9.029,,,,,,,,,,,,,,,,,
6/1/2009,20:15,12.81,31.83,7.903,1.577,9.529,,,,,,,,,,,,,,,,,
6/1/2009,20:30,13.28,31.22,7.988,1.876,10.029,,,,,,,,,,,,,,,,,
6/1/2009,20:45,13.06,31.06,7.998,1.912,10.529,,,,,,,,,,,,,,,,,
6/1/2009,21:00,13.17,30.81,8.013,1.968,11.029,,,,,,,,,,,,,,,,,
6/1/2009,21:15,13.06,30.81,7.970,1.807,11.529,,,,,,,,,,,,,,,,,
6/1/2009,21:30,13.04,30.98,7.951,1.738,12.029,,,,,,,,,,,,,,,,,
6/1/2009,21:45,13.13,31.09,7.955,1.755,12.528,,,,,,,,,,,,,,,,,
6/1/2009,22:00,13.42,31.07,7.984,1.858,13.029,,,,,,,,,,,,,,,,,
6/1/2009,22:15,13.17,30.99,8.027,2.024,13.529,,,,,,,,,,,,,,,,,
6/1/2009,22:30,13.2,30.57,8.032,2.044,14.029,,,,,,,,,,,,,,,,,
6/1/2009,22:45,13.24,30.62,8.022,2.005,14.529,,,,,,,,,,,,,,,,,
6/1/2009,23:00,13.71,31.01,7.936,1.687,15.029,,,,,,,,,,,,,,,,,
6/1/2009,23:15,14,31.18,7.945,1.719,15.529,,,,,,,,,,,,,,,,,
6/1/2009,23:30,14.35,31.29,7.959,1.768,16.029,,,,,,,,,,,,,,,,,
6/1/2009,23:45,14.35,31.4,7.959,1.768,16.528,,,,,,,,,,,,,,,,,
6/2/2009,0:00,14.35,31.43,7.964,1.785,16.993,,,,,,,,,,,,,,,,,
6/2/2009,0:15,13.98,31.41,7.955,1.752,16.868,,,,,,,,,,,,,,,,,
6/2/2009,0:30,14.45,31.21,7.935,1.685,16.743,,,,,,,,,,,,,,,,,
6/2/2009,0:45,13.99,31.15,7.988,1.873,16.618,,,,,,,,,,,,,,,,,
6/2/2009,1:00,14.07,31.25,7.940,1.702,16.493,,,,,,,,,,,,,,,,,
6/2/2009,1:15,14.36,31.22,7.940,1.701,16.368,,,,,,,,,,,,,,,,,
6/2/2009,1:30,14.43,31.29,7.945,1.717,16.243,,,,,,,,,,,,,,,,,
6/2/2009,1:45,14.66,31.33,7.926,1.652,16.118,,,,,,,,,,,,,,,,,
6/2/2009,2:00,14.77,31.37,7.925,1.651,15.993,,,,,,,,,,,,,,,,,
6/2/2009,2:15,14.85,31.41,7.911,1.604,15.868,,,,,,,,,,,,,,,,,
6/2/2009,2:30,14.81,31.46,7.911,1.604,15.743,,,,,,,,,,,,,,,,,
6/2/2009,2:45,14.42,31.58,7.902,1.574,15.618,,,,,,,,,,,,,,,,,
6/2/2009,3:00,14.18,31.53,7.869,1.470,15.493,,,,,,,,,,,,,,,,,
6/2/2009,3:15,14.11,31.46,7.845,1.399,15.368,,,,,,,,,,,,,,,,,
6/2/2009,3:30,14.06,31.43,7.850,1.413,15.243,,,,,,,,,,,,,,,,,
6/2/2009,3:45,14.05,31.39,7.850,1.413,15.118,,,,,,,,,,,,,,,,,
6/2/2009,4:00,14.01,31.36,7.831,1.358,14.993,,,,,,,,,,,,,,,,,
6/2/2009,4:15,14,31.31,7.826,1.345,14.868,,,,,,,,,,,,,,,,,
6/2/2009,4:30,13.97,31.27,7.831,1.358,14.743,,,,,,,,,,,,,,,,,
6/2/2009,4:45,13.97,31.23,7.826,1.345,14.618,,,,,,,,,,,,,,,,,
6/2/2009,5:00,13.95,31.21,7.807,1.292,14.493,,,,,,,,,,,,,,,,,
6/2/2009,5:15,13.92,31.18,7.793,1.253,14.368,,,,,,,,,,,,,,,,,
6/2/2009,5:30,13.89,31.28,7.784,1.228,14.243,,,,,,,,,,,,,,,,,
6/2/2009,5:45,13.88,31.27,7.731,1.097,14.118,,,,,,,,,,,,,,,,,
6/2/2009,6:00,14.49,31.44,7.754,1.154,13.969,,,,,,,,,,,,,,,,,
6/2/2009,6:15,14.45,31.46,7.778,1.214,13.427,,,,,,,,,,,,,,,,,
6/2/2009,6:30,14.25,31.53,7.736,1.107,12.886,,,,,,,,,,,,,,,,,
6/2/2009,6:45,14.4,31.48,7.726,1.084,12.344,,,,,,,,,,,,,,,,,
6/2/2009,7:00,14.47,31.49,7.712,1.051,11.803,,,,,,,,,,,,,,,,,
6/2/2009,7:15,14.59,31.62,7.721,1.072,11.261,,,,,,,,,,,,,,,,,
6/2/2009,7:30,14.76,31.56,7.726,1.083,10.719,,,,,,,,,,,,,,,,,
6/2/2009,7:45,14.89,31.51,7.745,1.129,10.178,,,,,,,,,,,,,,,,,
6/2/2009,8:00,14.9,31.49,7.792,1.251,9.636,,,,,,,,,,,,,,,,,
6/2/2009,8:15,14.93,31.47,7.783,1.226,9.094,,,,,,,,,,,,,,,,,
6/2/2009,8:30,14.89,31.49,7.783,1.226,8.553,,,,,,,,,,,,,,,,,
6/2/2009,8:45,14.72,31.53,7.726,1.084,8.011,,,,,,,,,,,,,,,,,
6/2/2009,9:00,15.22,31.2,7.783,1.226,7.469,,,,,,,,,,,,,,,,,
6/2/2009,9:15,14.76,31.47,7.759,1.165,6.927,,,,,,,,,,,,,,,,,
6/2/2009,9:30,14.79,31.44,7.764,1.177,6.386,,,,,,,,,,,,,,,,,
6/2/2009,9:45,14.65,31.45,7.745,1.130,5.844,,,,,,,,,,,,,,,,,
6/2/2009,10:00,14.43,31.4,7.712,1.051,5.302,,,,,,,,,,,,,,,,,
6/2/2009,10:15,14.26,31.33,7.712,1.051,4.760,,,,,,,,,,,,,,,,,
6/2/2009,10:30,14.2,31.3,7.736,1.108,4.219,,,,,,,,,,,,,,,,,
6/2/2009,10:45,14.48,31.23,7.769,1.190,3.677,,,,,,,,,,,,,,,,,
6/2/2009,11:00,14.54,31.15,7.812,1.304,3.135,,,,,,,,,,,,,,,,,
6/2/2009,11:15,14.63,31.27,7.769,1.190,2.594,,,,,,,,,,,,,,,,,
6/2/2009,11:30,14.82,31.31,7.849,1.412,2.053,,,,,,,,,,,,,,,,,
6/2/2009,11:45,14.76,31.35,7.835,1.370,1.511,,,,,,,,,,,,,,,,,
6/2/2009,12:00,14.87,31.36,7.840,1.384,1.002,,,,,,,,,,,,,,,,,
6/2/2009,12:15,14.8,31.27,7.878,1.498,1.044,,,,,,,,,,,,,,,,,
6/2/2009,12:30,15.18,31.18,7.882,1.512,1.086,,,,,,,,,,,,,,,,,
6/2/2009,12:45,15.15,31.32,7.887,1.527,1.127,,,,,,,,,,,,,,,,,
6/2/2009,13:00,15.22,31.3,7.878,1.497,1.169,,,,,,,,,,,,,,,,,
6/2/2009,13:15,15.17,31.33,7.878,1.497,1.211,,,,,,,,,,,,,,,,,
6/2/2009,13:30,15.36,31.32,7.911,1.603,1.252,,,,,,,,,,,,,,,,,
6/2/2009,13:45,15.38,31.33,7.892,1.541,1.294,,,,,,,,,,,,,,,,,
6/2/2009,14:00,15.36,31.28,7.901,1.572,1.336,,,,,,,,,,,,,,,,,
6/2/2009,14:15,15.41,31.32,7.901,1.572,1.377,,,,,,,,,,,,,,,,,
6/2/2009,14:30,15.42,31.36,7.882,1.511,1.419,,,,,,,,,,,,,,,,,
6/2/2009,14:45,15.48,31.35,7.896,1.556,1.461,,,,,,,,,,,,,,,,,
6/2/2009,15:00,15.33,31.41,7.873,1.482,1.502,,,,,,,,,,,,,,,,,
6/2/2009,15:15,15.36,31.41,7.868,1.467,1.544,,,,,,,,,,,,,,,,,
6/2/2009,15:30,15.25,31.41,7.858,1.439,1.586,,,,,,,,,,,,,,,,,
6/2/2009,15:45,15.3,31.4,7.863,1.453,1.627,,,,,,,,,,,,,,,,,
6/2/2009,16:45,15.28,31.42,7.873,1.482,1.794,,,,,,,,,,,,,,,,,
6/2/2009,17:00,15.27,31.37,7.868,1.467,1.836,,,,,,,,,,,,,,,,,
6/2/2009,17:15,15.14,31.43,7.873,1.482,1.877,,,,,,,,,,,,,,,,,
6/2/2009,17:30,15.09,31.45,7.868,1.468,1.919,,,,,,,,,,,,,,,,,
6/2/2009,17:45,15.14,31.49,7.878,1.497,1.961,,,,,,,,,,,,,,,,,
6/2/2009,18:00,15.16,31.53,7.873,1.482,2.014,,,,,,,,,,,,,,,,,
6/2/2009,18:15,15.34,31.37,7.882,1.511,2.264,,,,,,,,,,,,,,,,,
6/2/2009,18:30,15.31,31.52,7.906,1.587,2.514,,,,,,,,,,,,,,,,,
6/2/2009,18:45,15.32,31.45,7.901,1.572,2.764,,,,,,,,,,,,,,,,,
6/2/2009,19:00,15.55,31.28,7.944,1.715,3.014,,,,,,,,,,,,,,,,,
6/2/2009,19:15,15.39,31.2,7.897,1.557,3.264,,,,,,,,,,,,,,,,,
6/2/2009,19:30,15.17,31.43,7.920,1.634,3.514,,,,,,,,,,,,,,,,,
6/2/2009,19:45,15.23,31.35,7.930,1.666,3.764,,,,,,,,,,,,,,,,,
6/2/2009,20:00,15.04,31.38,7.892,1.542,4.014,,,,,,,,,,,,,,,,,
6/2/2009,20:15,14.95,31.33,7.873,1.483,4.264,,,,,,,,,,,,,,,,,
6/2/2009,20:30,15.19,31.13,7.925,1.651,4.514,,,,,,,,,,,,,,,,,
6/2/2009,20:45,15.12,30.9,8.020,1.999,4.764,,,,,,,,,,,,,,,,,
6/2/2009,21:00,14.6,30.21,8.021,2.002,5.014,,,,,,,,,,,,,,,,,
6/2/2009,21:15,14.33,30.29,8.026,2.021,5.264,,,,,,,,,,,,,,,,,
6/2/2009,21:30,13.92,30.23,8.060,2.160,5.514,,,,,,,,,,,,,,,,,
6/2/2009,21:45,13.7,30.26,8.055,2.141,5.764,,,,,,,,,,,,,,,,,
6/2/2009,22:00,13.59,30.32,8.055,2.141,6.014,,,,,,,,,,,,,,,,,
6/2/2009,22:15,13.48,30.25,8.065,2.182,6.264,,,,,,,,,,,,,,,,,
6/2/2009,22:30,13.51,30.28,8.060,2.161,6.514,,,,,,,,,,,,,,,,,
6/2/2009,22:45,13.54,30.3,8.055,2.141,6.764,,,,,,,,,,,,,,,,,
6/2/2009,23:00,13.5,30.24,8.060,2.162,7.014,,,,,,,,,,,,,,,,,
6/2/2009,23:15,13.72,30.24,8.050,2.121,7.264,,,,,,,,,,,,,,,,,
6/2/2009,23:30,13.83,30.27,8.046,2.101,7.514,,,,,,,,,,,,,,,,,
6/2/2009,23:45,13.7,30.31,8.022,2.004,7.764,,,,,,,,,,,,,,,,,
6/3/2009,0:00,13.76,30.34,8.017,1.985,8.000,,,,,,,,,,,,,,,,,
6/3/2009,0:15,13.69,30.31,8.036,2.062,8.000,,,,,,,,,,,,,,,,,
6/3/2009,0:30,13.8,30.32,8.003,1.930,8.000,,,,,,,,,,,,,,,,,
6/3/2009,0:45,13.72,30.35,7.989,1.876,8.000,,,,,,,,,,,,,,,,,
